x,y,z,time
14.719552,-6.445191,1.484405,72980009984682.000000
12.727576,-6.517017,1.575385,72980051655567.000000
11.463438,-6.517017,1.273715,72980069305775.000000
13.407530,-6.698977,0.397437,72980109359473.000000
14.025233,-6.335058,-0.038307,72980130835880.000000
14.058752,-5.698200,-0.402226,72980149389265.000000
13.460202,-4.649539,-0.861913,72980169946140.000000
12.708423,-3.691859,-0.933739,72980189691609.000000
10.769119,-2.868254,-0.483629,72980230734994.000000
9.236830,-2.652776,-0.636858,72980269502963.000000
7.402872,-2.413355,-0.790087,72980351395411.000000
9.260772,-3.045424,-1.029507,72980430666973.000000
10.323798,-3.418920,-1.230620,72980450323588.000000
10.970232,-3.634398,-1.436521,72980469732911.000000
10.223241,-3.620033,-1.259350,72980510416557.000000
9.868899,-3.945644,-0.636858,72980531374838.000000
10.472239,-4.505888,0.014365,72980549813692.000000
11.568783,-5.348647,0.023942,72980570372546.000000
11.597513,-5.363012,0.119710,72980590026192.000000
12.148179,-5.640739,0.967257,72980631376921.000000
12.928689,-6.009446,1.647211,72980650487234.000000
14.489709,-5.851429,1.675941,72980692344161.000000
12.785037,-4.865018,1.316811,72980731411869.000000
11.066000,-4.496311,1.508347,72980750012702.000000
8.336611,-4.448427,1.819593,72980790039629.000000
7.498640,-4.826711,1.613692,72980811450671.000000
6.550536,-5.698200,1.063026,72980831114317.000000
5.990293,-5.272032,0.780510,72980850662911.000000
5.817910,-4.831499,0.995988,72980910189786.000000
6.387730,-4.778827,1.173159,72980950234369.000000
7.465121,-4.644751,1.570596,72980990284213.000000
8.757990,-5.075707,1.225831,72981010921452.000000
10.898406,-5.372589,0.905008,72981031416452.000000
12.622231,-5.583278,0.608127,72981070346713.000000
13.034034,-5.554548,0.062249,72981091006504.000000
13.900735,-5.559336,0.833182,72981150489004.000000
12.694057,-6.607996,0.732626,72981231592025.000000
13.067553,-6.349423,0.512359,72981251208171.000000
13.211205,-5.501875,0.478840,72981310633587.000000
7.062895,-2.801216,0.478840,72981431759837.000000
9.514558,-3.725378,-0.924162,72981590944317.000000
11.975797,-4.338294,-1.063026,72981651608119.000000
12.928689,-5.257667,0.785298,72981731651869.000000
13.038822,-5.348647,1.944092,72981771708431.000000
12.622231,-5.382165,2.882619,72981791140150.000000
12.430696,-4.984728,3.150769,72981811901087.000000
12.478580,-4.098873,2.518700,72981832338014.000000
11.444284,-3.332729,1.982399,72981871264004.000000
10.409989,-3.485958,1.910573,72981891803743.000000
7.369353,-4.065354,1.570596,72981951328066.000000
5.477933,-4.280833,1.642422,72981992373327.000000
5.300763,-4.271256,1.426944,72982012019785.000000
5.339070,-4.103662,1.254562,72982032401191.000000
6.804321,-4.247314,1.498770,72982111517650.000000
10.438720,-4.989516,1.546654,72982172100254.000000
12.411542,-5.214571,1.182736,72982191601243.000000
12.382812,-5.152322,1.345541,72982233350202.000000
12.349293,-5.118803,1.608904,72982271650879.000000
13.503298,-6.162675,1.814805,72982312366035.000000
13.192051,-5.975927,2.001553,72982333032129.000000
11.827356,-6.148310,1.900996,72982351736243.000000
10.089166,-6.148310,2.121263,72982392241712.000000
11.056423,-6.234501,1.881842,72982412344525.000000
13.096283,-6.224925,0.957681,72982452402962.000000
12.933477,-5.430049,0.450110,72982472697389.000000
12.531252,-4.453215,0.033519,72982492452806.000000
10.998962,-3.050213,0.277727,72982533164056.000000
9.911995,-2.753332,0.153229,72982552928952.000000
9.188946,-2.767697,0.239420,72982573583118.000000
8.489840,-2.676718,0.234632,72982592006243.000000
7.335834,-3.059790,-0.181959,72982634662962.000000
6.737284,-3.145981,-0.316035,72982672659524.000000
6.536170,-2.557007,-0.723049,72982693943847.000000
12.119449,-3.797204,-0.565032,72982834757597.000000
13.623008,-5.128380,2.236184,72982994154524.000000
5.640739,-4.429273,1.546654,72983133586660.000000
6.378153,-4.434062,1.465251,72983274534628.000000
12.832921,-5.856217,1.599327,72983434958378.000000
13.010092,-6.066907,0.028730,72983575434003.000000
